Date,Consumer Discretionary,Consumer Staples,Health Care
2005-03-28,260.0,234.67999267578125,344.1099853515625
2005-04-04,260.2300109863281,237.17999267578125,353.4100036621094
2005-04-11,248.41000366210938,235.02000427246094,357.70001220703125
2005-04-18,247.63999938964844,232.75,354.3900146484375
2005-04-25,245.4600067138672,234.32000732421875,358.5299987792969
2005-05-02,251.1199951171875,238.0800018310547,362.4700012207031
2005-05-09,248.25999450683594,235.22999572753906,360.2300109863281
2005-05-16,259.5799865722656,241.66000366210938,364.1000061035156
2005-05-23,261.55999755859375,240.4600067138672,363.7300109863281
2005-05-30,260.8500061035156,239.52999877929688,361.4800109863281
2005-06-06,261.3500061035156,239.9600067138672,360.0899963378906
2005-06-13,266.3399963378906,240.27000427246094,367.260009765625
2005-06-20,259.9800109863281,233.9499969482422,361.1499938964844
2005-06-27,259.67999267578125,234.77999877929688,359.1499938964844
2005-07-04,264.3299865722656,236.4499969482422,363.30999755859375
2005-07-11,269.8699951171875,240.63999938964844,365.2900085449219
2005-07-18,273.3900146484375,240.3000030517578,364.70001220703125
2005-07-25,273.760009765625,241.5,368.0899963378906
2005-08-01,269.3699951171875,238.44000244140625,365.7900085449219
2005-08-08,272.07000732421875,237.64999389648438,367.6600036621094
2005-08-15,267.6199951171875,238.7100067138672,363.6199951171875
2005-08-22,263.760009765625,236.36000061035156,359.05999755859375
2005-08-29,260.57000732421875,237.38999938964844,365.8999938964844
2005-09-05,266.6099853515625,240.5500030517578,374.9800109863281
2005-09-12,261.8699951171875,238.6999969482422,371.3800048828125
2005-09-19,254.77999877929688,234.39999389648438,364.69000244140625
2005-09-26,256.4100036621094,240.47000122070312,363.7699890136719
2005-10-03,250.33999633789062,235.83999633789062,356.07000732421875
2005-10-10,247.8800048828125,235.1199951171875,357.3800048828125
2005-10-17,246.86000061035156,235.75999450683594,350.3900146484375
2005-10-24,247.47999572753906,238.1999969482422,350.7900085449219
2005-10-31,256.8800048828125,239.02000427246094,355.20001220703125
2005-11-07,260.5299987792969,242.3800048828125,360.0799865722656
2005-11-14,261.5299987792969,241.08999633789062,361.2699890136719
